Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-09-25,603.69,605.99,599.42,601.67,2577.17870414,1551906.35262,602.172581253
2016-09-26,601.67,607.99,600.02,607.08,4292.32724007,2599972.50213,605.725602154
2016-09-27,607.04,607.54,601.38,605.71,4345.51888885,2628805.76525,604.946344152
2016-09-28,605.71,606.0,603.18,605.04,3710.0120722,2243451.69307,604.701992718
2016-09-29,604.96,606.89,603.56,605.99,4106.83205706,2486679.55109,605.498232346
2016-09-30,605.99,608.99,605.0,608.99,4626.81936993,2804572.28216,606.155559128
2016-10-01,608.99,617.19,608.98,615.65,3480.01593911,2136146.34526,613.832345205
2016-10-02,615.65,615.9,608.66,612.4,2911.8918914,1783332.34789,612.430823122
2016-10-03,612.42,615.24,610.7,612.99,4436.78281505,2719542.27191,612.953661532
2016-10-04,612.99,613.23,606.93,610.34,5060.86312789,3089549.09795,610.478691061
2016-10-05,610.33,614.24,609.22,613.16,4454.40369502,2726213.19196,612.026519961
2016-10-06,613.16,613.39,610.3,611.88,3920.07531583,2401039.99514,612.498434774
2016-10-07,611.78,618.7,609.89,617.98,5119.98889954,3149935.90322,615.223189938
2016-10-08,618.11,620.0,617.55,619.5,2793.95535361,1729010.41077,618.839670624
2016-10-09,619.46,619.59,617.0,617.42,2329.86207734,1440506.03207,618.279530825
2016-10-10,617.43,619.2,615.46,618.72,3896.59582637,2406179.56417,617.508120265
2016-10-11,618.72,647.03,618.13,642.12,6316.50262935,3995248.86634,632.509649845
2016-10-12,642.3,643.58,631.91,635.79,4334.7387028,2768409.90231,638.656697006
2016-10-13,635.9,639.85,632.0,635.66,3845.21461185,2447058.3113,636.390568099
2016-10-14,635.8,639.99,624.08,638.03,4365.86702469,2773152.59793,635.189432533
2016-10-15,638.03,639.99,636.0,638.16,683.79807092,436595.162421,638.485513469
2016-10-16,638.16,643.91,637.87,641.92,2547.64969894,1635020.79094,641.776140424
2016-10-17,642.1,643.47,636.27,639.56,3950.24167083,2526140.5458,639.490126503
2016-10-18,639.56,640.0,632.15,635.11,4126.80597819,2629187.27101,637.099801857
2016-10-19,635.12,636.99,625.6,629.79,4465.14828834,2817522.39702,631.003096668
2016-10-20,629.79,629.99,626.01,628.05,4170.46626703,2620708.02786,628.396888996
2016-10-21,628.19,633.41,627.5,630.83,4162.76985048,2622225.84923,629.92333072
2016-10-22,630.67,658.0,629.32,652.75,4586.7845212,2952258.97529,643.644575332
2016-10-23,653.03,655.8,645.33,651.04,3075.73956709,2003130.56895,651.267939062
2016-10-24,651.05,652.93,645.81,649.98,3670.49141848,2382651.89231,649.137028442
2016-10-25,649.98,657.5,648.99,654.3,4814.88839172,3148167.849,653.840253995
2016-10-26,654.3,678.0,652.51,674.0,5843.50141279,3892614.99186,666.144271539
2016-10-27,674.0,692.41,673.54,691.21,6771.85374768,4634376.19372,684.358576898
2016-10-28,691.01,691.19,683.2,689.95,4409.98654001,3032749.25919,687.70034368
2016-10-29,689.95,725.64,689.39,714.28,6583.49896892,4684754.43016,711.590364375
2016-10-30,714.28,714.98,692.04,697.41,3799.52235609,2677022.81567,704.568249581
2016-10-31,697.39,709.68,681.01,696.9,4474.8670547,3126631.66061,698.709396812
2016-11-01,697.07,737.5,695.74,730.7,6909.18196562,4991265.72586,722.410518452
2016-11-02,730.7,744.6,720.0,744.6,5096.8408538,3705349.14766,726.989375174
2016-11-03,744.61,746.16,672.06,690.0,10331.3496383,7363999.39367,712.781935707
2016-11-04,690.0,708.33,683.8,706.32,5229.21994603,3658167.3381,699.562721754
2016-11-05,706.05,707.99,697.72,706.99,2999.21458017,2113950.30155,704.834630883
2016-11-06,706.98,719.83,705.86,717.02,3013.17627869,2145554.40495,712.057379492
2016-11-07,717.04,717.32,701.35,706.42,4168.78736342,2949791.6037,707.589844851
2016-11-08,706.41,716.45,704.16,711.15,4361.51958288,3096055.06557,709.856967679
